Title,Rating,Image_URL,Local_Image_Path,Listing_URL,City,Price_Clean,Image_Exists
Apartment in Rawalpindi,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQzNDk2MTc2OTkyMjY2MDI3MQ==/original/0c88ffdd-fcf3-4628-b808-3d8abccf0018.jpeg,output\images\islamabad\1434961769922660271_3ffbc546_p1.jpeg,https://www.airbnb.com/rooms/1434961769922660271?search_mode=regular_search&adults=1&check_in=2025-09-07&check_out=2026-09-06&children=0&infants=0&pets=0&source_impression_id=p3_1754985541_P3X0OATFDum5t84t&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$669.00,True
Room in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTcxMzQ3Mzc1Nzg0Mzk4ODE4/original/25e9adfb-b1c0-49e3-9ef5-58015d0e4301.jpeg,output\images\islamabad\1073126397036402567_0751ad4f_p1.jpeg,https://www.airbnb.com/rooms/1073126397036402567?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-08-31&children=0&infants=0&pets=0&photo_id=1824506737&source_impression_id=p3_1754985541_P39CFrSQro3H1aIq&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$609.00,True
Room in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA2NTE3MDI3ODcwNTg1MjE4OQ%3D%3D/original/15ddf128-2d62-4a3b-b5a9-8c07b31d0d5c.jpeg,output\images\islamabad\1073123917498884135_dc213208_p1.jpeg,https://www.airbnb.com/rooms/1073123917498884135?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-08-31&children=0&infants=0&pets=0&photo_id=1824504225&source_impression_id=p3_1754985541_P3EHpVZGTSW2uQHZ&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$609.00,True
Home in Islamabad,4.85,https://a0.muscache.com/im/pictures/0bb0c3b0-6be6-40dd-a95a-6ab30ca0d47b.jpg,output\images\islamabad\545695246487745379_f0586fea_p1.jpg,https://www.airbnb.com/rooms/545695246487745379?search_mode=regular_search&adults=1&check_in=2025-09-02&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985541_P3ySkuiiWKL1iJwW&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$1871.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1166430890276843831/original/21eeee1c-a0ea-4e52-9ac6-b7a3d2db752e.png,output\images\islamabad\1166430890276843831_cd57213e_p1.png,https://www.airbnb.com/rooms/1166430890276843831?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3gx0WfkMO2c-Tt0&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$825.00,True
Apartment in Islamabad,4.67,https://a0.muscache.com/im/pictures/hosting/Hosting-1281982155383661731/original/be766c84-2260-4f3d-9543-f2831a616764.jpeg,output\images\islamabad\1281982155383661731_b50ad0d3_p1.jpeg,https://www.airbnb.com/rooms/1281982155383661731?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3ubJX5ZJd0YLsCt&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$768.00,True
Room in Islamabad,5.0,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\549197123828609855_1fd9037a_p1.png,https://www.airbnb.com/rooms/549197123828609855?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1957264738&source_impression_id=p3_1754985534_P3R-AYEKh3rRyYK4&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$474.00,True
Apartment in Islamabad,4.97,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\1406289876482776027_1fd9037a_p1.png,https://www.airbnb.com/rooms/1406289876482776027?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3LM9SsEV38kuNg5&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$799.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\1451642120138990653_1fd9037a_p1.png,https://www.airbnb.com/rooms/1451642120138990653?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3wnUt27K9vhUxZO&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$1452.00,True
Apartment in Rawalpindi,4.96,https://a0.muscache.com/im/pictures/hosting/Hosting-1404327516316400536/original/1a04cf85-4b7f-4a81-8f3a-9f2c379f0403.jpeg,output\images\islamabad\1404327516316400536_2b177cd7_p1.jpeg,https://www.airbnb.com/rooms/1404327516316400536?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3ptjwec0UYpE7oC&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$576.00,True
Home in Islamabad,5.0,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM5MzIyNDUyMjc5MDc3MzkyMQ==/original/1d329047-dc04-4268-bd0b-d9af09de5b84.jpeg,output\images\islamabad\1393224522790773921_cab10807_p1.jpeg,https://www.airbnb.com/rooms/1393224522790773921?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3LK0hlewvzRqz7E&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$891.00,True
