Title,Price,Rating,Reviews,Image_URL,Listing_URL,City,Page,Scraped_At
Apartment in Rawalpindi,$669 ,5,,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQzNDk2MTc2OTkyMjY2MDI3MQ==/original/0c88ffdd-fcf3-4628-b808-3d8abccf0018.jpeg,https://www.airbnb.com/rooms/1434961769922660271?search_mode=regular_search&adults=1&check_in=2025-09-07&check_out=2026-09-06&children=0&infants=0&pets=0&source_impression_id=p3_1754981077_P33YmtfAp7SmUAy1&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.562006
Room in Islamabad,$609 ,5,,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTcxMzQ3Mzc1Nzg0Mzk4ODE4/original/25e9adfb-b1c0-49e3-9ef5-58015d0e4301.jpeg,https://www.airbnb.com/rooms/1073126397036402567?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-08-31&children=0&infants=0&pets=0&photo_id=1824506737&source_impression_id=p3_1754981077_P3F-C0ZyrPQqTgUR&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.565884
Room in Islamabad,$609 ,5,,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA2NTE3MDI3ODcwNTg1MjE4OQ%3D%3D/original/15ddf128-2d62-4a3b-b5a9-8c07b31d0d5c.jpeg,https://www.airbnb.com/rooms/1073123917498884135?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-08-31&children=0&infants=0&pets=0&photo_id=1824504225&source_impression_id=p3_1754981077_P3hxBE-4MRDrJyz-&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.569226
Home in Islamabad,"$1,871 ",4.85,,https://a0.muscache.com/im/pictures/0bb0c3b0-6be6-40dd-a95a-6ab30ca0d47b.jpg,https://www.airbnb.com/rooms/545695246487745379?search_mode=regular_search&adults=1&check_in=2025-09-02&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981077_P3faY05blEchROJa&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.572589
Apartment in Islamabad,"$768 $547 Show price breakdown $547 monthly, originally $768 monthly",4.67,,https://a0.muscache.com/im/pictures/hosting/Hosting-1281982155383661731/original/be766c84-2260-4f3d-9543-f2831a616764.jpeg?im_w=720,https://www.airbnb.com/rooms/1281982155383661731?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3q_D1V_TSf6fQxX&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.576523
Apartment in Islamabad,$825 Show price breakdown $825 monthly monthly,5,,https://a0.muscache.com/im/pictures/hosting/Hosting-1166430890276843831/original/21eeee1c-a0ea-4e52-9ac6-b7a3d2db752e.png?im_w=720,https://www.airbnb.com/rooms/1166430890276843831?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P34jfZv6xeflMzqi&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.580644
Room in Islamabad,"$474 $323 Show price breakdown $323 monthly, originally $474 monthly",5,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/549197123828609855?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1957264738&source_impression_id=p3_1754981074_P3m2gh0WiJFkmJtU&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.586261
Apartment in Islamabad,"$1,452 $1,300 Show price breakdown $1,300 monthly, originally $1,452 monthly",5,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/1451642120138990653?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3lNFCghrdKkK3pL&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.591130
Apartment in Islamabad,"$799 $647 Show price breakdown $647 monthly, originally $799 monthly",4.97,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/1406289876482776027?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3MggL-0_XcIx591&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.596902
Apartment in Rawalpindi,"$576 $494 Show price breakdown $494 monthly, originally $576 monthly",4.96,,https://a0.muscache.com/im/pictures/hosting/Hosting-1404327516316400536/original/1a04cf85-4b7f-4a81-8f3a-9f2c379f0403.jpeg?im_w=720,https://www.airbnb.com/rooms/1404327516316400536?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P33f7LD0wDBAkWx2&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.602262
